TIMESTAMP,IRT2011B2xx24,TDR2011B20624,TDR2011B21824,TDR2011B23024,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,et,cwsi
2024-07-16 12:00:00,28.62343,21.35833,16.7,13.175,29.1665,53.23316666666666,1.8881,230.6,915.89625,824.7033333333333,0.0,29.323666666666668,28.9965,54.04533333333333,52.48966666666667,0.4871796203796204,,
2024-07-16 13:00:00,31.308385,21.583335,16.616665,13.125,31.0415,45.561,1.6728166666666666,253.3673333333333,915.595365,856.475,0.0,31.213,30.8575,46.447,44.61466666666667,0.4835164835164835,,
2024-07-16 14:00:00,32.847905,21.716665,16.5,13.1,31.907333333333334,41.36516666666667,1.707,198.27791666666664,915.2775533333332,874.7833333333333,0.0,32.07233333333333,31.732333333333333,42.59583333333333,40.337833333333336,0.4838495504495501,,
2024-07-16 15:00:00,33.346415,21.841665,16.416665000000002,13.083335,32.194,39.52216666666666,1.8047,85.12506666666667,914.9160183333332,803.45,0.0,32.358333333333334,32.02,40.71216666666667,38.50566666666667,0.4828505494505492,,
2024-07-16 16:00:00,32.865750000000006,21.916665,16.341665,13.008335,32.444,36.62883333333333,1.5710666666666666,82.70041666666665,914.7791533333332,694.1800000000001,0.0,32.601,32.2715,37.4935,35.900333333333336,0.4858475524475525,,
2024-07-16 17:00:00,30.6954,21.991665,16.283335,13.0,32.54683333333333,36.814,1.6275166666666665,83.86200000000001,914.2600266666668,549.1466666666668,0.0,32.708666666666666,32.38466666666667,37.70966666666666,36.09016666666666,0.4855144855144853,,0.3417188896819524
2024-07-16 18:00:00,27.027790000000003,22.033335,16.233335,12.975,28.513666666666666,47.3275,2.6488,61.2755,914.6243333333332,301.76166666666666,0.0,28.68283333333333,28.33566666666667,48.00066666666667,46.72316666666666,0.4868463536463534,,
2024-07-16 19:00:00,25.2099,22.091665,16.25,12.941665,26.654333333333334,65.8245,2.26135,94.32933333333334,914.9770016666666,191.9883333333333,0.0,26.8005,26.48983333333333,66.20333333333333,65.43900000000001,0.4851816183816183,,
2024-07-16 20:00:00,24.47069,22.108335,16.25833,12.95,24.620833333333334,71.54516666666667,1.9113666666666669,104.151,916.1745233333334,53.38441666666667,0.0084666666666666,24.77533333333333,24.459166666666665,72.0635,71.05083333333333,0.4838495504495501,,
2024-07-16 21:00:00,19.383455,22.183335,16.316665,12.958335,19.87283333333333,80.65316666666666,1.5461833333333332,106.67566666666669,917.162995,0.01325,0.0,20.02533333333333,19.714,80.97233333333334,80.34066666666666,0.4781884115884117,,
2024-07-16 22:00:00,17.91785,22.2,16.3,12.95,18.383666666666667,87.725,0.6780666666666666,112.91321666666666,917.9952283333332,0.0,0.0,18.52583333333333,18.230166666666666,87.97666666666667,87.47166666666666,0.4785214785214787,,
2024-07-16 23:00:00,17.209654999999998,22.241665,16.308335,12.908335,17.5045,92.205,0.9878166666666668,164.17683333333335,918.7502866666669,0.0,0.0,17.64783333333333,17.345000000000002,92.38166666666666,92.02833333333334,0.4781884115884117,,
2024-07-17 00:00:00,16.917565000000003,22.225,16.4,12.908335,17.148833333333336,94.24166666666666,0.3620333333333334,35.24966666666667,919.0379166666668,0.0,0.0,17.28933333333333,16.993333333333332,94.42,94.045,0.475191408591409,4.217631211496008,
2024-07-17 01:00:00,16.466825,22.274995,16.4,12.908335,16.170333333333335,96.54333333333334,0.4352666666666666,100.97833333333332,918.98366,0.0,0.0,16.312666666666665,16.007333333333335,96.70166666666668,96.37833333333332,0.4731936063936067,,
2024-07-17 02:00:00,15.73012,22.28333,16.433335,12.9,15.153666666666668,97.56833333333334,0.3354999999999999,94.85166666666667,918.8655216666668,0.0,0.0,15.2975,15.0,97.72833333333332,97.38333333333334,0.4718615384615388,,
2024-07-17 03:00:00,15.259865,22.3,16.483335,12.9,14.404166666666669,98.42833333333331,1.0531333333333337,177.075,919.6361283333332,0.0,0.0,14.543333333333331,14.269,98.58666666666666,98.26166666666668,0.4691974025974028,,
2024-07-17 04:00:00,14.8658,22.3,16.5,12.9,13.946,98.86833333333334,0.7898833333333334,156.02333333333334,920.019405,0.0,0.0,14.090333333333332,13.803333333333336,99.005,98.71333333333334,0.4685314685314685,,
2024-07-17 05:00:00,14.07796,22.3,16.51667,12.9,13.100166666666668,98.76833333333336,0.7944333333333333,167.985,920.46607,0.0,0.0,13.2405,12.9505,98.90333333333334,98.615,0.4678653346653348,,
